pixel	slot	asic	channel	tmpix	row	col	sipmpix	triggerpatch	hvpatch	superpixel	xpix	ypix
0	0	0	0	0	32	45	59	0	0	0	0.1434461	0.0573923
1	0	0	1	1	32	44	60	0	0	0	0.1371040	0.0573923
2	0	0	2	2	33	45	51	0	0	0	0.1433776	0.0637719
3	0	0	3	3	33	44	52	0	0	0	0.1370355	0.0637719
4	0	0	4	4	33	46	50	1	1	1	0.1497197	0.0637719
5	0	0	5	5	33	47	49	1	1	1	0.1560618	0.0637719
6	0	0	6	6	32	47	57	1	1	1	0.1561303	0.0573923
7	0	0	7	7	32	46	58	1	1	1	0.1497882	0.0573923
8	0	0	8	8	34	44	44	2	2	2	0.1369670	0.0701515
9	0	0	9	9	35	44	36	2	2	2	0.1368985	0.0765311
10	0	0	10	10	35	45	35	2	2	2	0.1432406	0.0765311
11	0	0	11	11	34	45	43	2	2	2	0.1433091	0.0701515
12	0	0	12	12	35	46	34	3	3	3	0.1495827	0.0765311
13	0	0	13	13	35	47	33	3	3	3	0.1559248	0.0765311
14	0	0	14	14	34	47	41	3	3	3	0.1559933	0.0701515
15	0	0	15	15	34	46	42	3	3	3	0.1496512	0.0701515
16	0	1	0	16	37	46	18	4	4	4	0.1494457	0.0892903
17	0	1	1	17	36	46	26	4	4	4	0.1495142	0.0829107
18	0	1	2	18	36	47	25	4	4	4	0.1558563	0.0829107
19	0	1	3	19	37	47	17	4	4	4	0.1557878	0.0892903
20	0	1	4	20	36	44	28	5	5	5	0.1368300	0.0829107
21	0	1	5	21	37	45	19	5	5	5	0.1431036	0.0892903
22	0	1	6	22	37	44	20	5	5	5	0.1367615	0.0892903
23	0	1	7	23	36	45	27	5	5	5	0.1431721	0.0829107
24	0	1	8	24	39	46	2	6	6	6	0.1493087	0.1020495
25	0	1	9	25	39	47	1	6	6	6	0.1556508	0.1020495
26	0	1	10	26	38	47	9	6	6	6	0.1557193	0.0956699
27	0	1	11	27	38	46	10	6	6	6	0.1493772	0.0956699
28	0	1	12	28	39	44	4	7	7	7	0.1366245	0.1020495
29	0	1	13	29	38	44	12	7	7	7	0.1366930	0.0956699
30	0	1	14	30	39	45	3	7	7	7	0.1429666	0.1020495
31	0	1	15	31	38	45	11	7	7	7	0.1430351	0.0956699
32	0	2	0	32	34	43	45	8	8	8	0.1306249	0.0701515
33	0	2	1	33	35	43	37	8	8	8	0.1305564	0.0765311
34	0	2	2	34	35	42	38	8	8	8	0.1242143	0.0765311
35	0	2	3	35	34	42	46	8	8	8	0.1242828	0.0701515
36	0	2	4	36	33	41	55	9	9	9	0.1180092	0.0637719
37	0	2	5	37	32	40	64	9	9	9	0.1117356	0.0573923
38	0	2	6	38	33	40	56	9	9	9	0.1116671	0.0637719
39	0	2	7	39	32	41	63	9	9	9	0.1180777	0.0573923
40	0	2	8	40	32	42	62	10	10	10	0.1244198	0.0573923
41	0	2	9	41	33	43	53	10	10	10	0.1306934	0.0637719
42	0	2	10	42	33	42	54	10	10	10	0.1243513	0.0637719
43	0	2	11	43	32	43	61	10	10	10	0.1307619	0.0573923
44	0	2	12	44	34	40	48	11	11	11	0.1115986	0.0701515
45	0	2	13	45	35	40	40	11	11	11	0.1115301	0.0765311
46	0	2	14	46	34	41	47	11	11	11	0.1179407	0.0701515
47	0	2	15	47	35	41	39	11	11	11	0.1178722	0.0765311
48	0	3	0	48	39	41	7	12	12	12	0.1175981	0.1020495
49	0	3	1	49	39	40	8	12	12	12	0.1112560	0.1020495
50	0	3	2	50	38	41	15	12	12	12	0.1176666	0.0956699
51	0	3	3	51	38	40	16	12	12	12	0.1113245	0.0956699
52	0	3	4	52	37	41	23	13	13	13	0.1177352	0.0892903
53	0	3	5	53	36	41	31	13	13	13	0.1178037	0.0829107
54	0	3	6	54	37	40	24	13	13	13	0.1113930	0.0892903
55	0	3	7	55	36	40	32	13	13	13	0.1114616	0.0829107
56	0	3	8	56	38	43	13	14	14	14	0.1303509	0.0956699
57	0	3	9	57	38	42	14	14	14	14	0.1240087	0.0956699
58	0	3	10	58	39	43	5	14	14	14	0.1302823	0.1020495
59	0	3	11	59	39	42	6	14	14	14	0.1239402	0.1020495
60	0	3	12	60	36	43	29	15	15	15	0.1304879	0.0829107
61	0	3	13	61	37	43	21	15	15	15	0.1304194	0.0892903
62	0	3	14	62	36	42	30	15	15	15	0.1241458	0.0829107
63	0	3	15	63	37	42	22	15	15	15	0.1240773	0.0892903
64	1	0	0	0	31	42	59	0	0	16	0.1244799	0.0489945
65	1	0	1	1	31	43	60	0	0	16	0.1308220	0.0489945
66	1	0	2	2	30	42	51	0	0	16	0.1245027	0.0425968
67	1	0	3	3	30	43	52	0	0	16	0.1308448	0.0425968
68	1	0	4	4	30	41	50	1	1	17	0.1181606	0.0425968
69	1	0	5	5	30	40	49	1	1	17	0.1118185	0.0425968
70	1	0	6	6	31	40	57	1	1	17	0.1117956	0.0489945
71	1	0	7	7	31	41	58	1	1	17	0.1181377	0.0489945
72	1	0	8	8	29	43	44	2	2	18	0.1308677	0.0361991
73	1	0	9	9	28	43	36	2	2	18	0.1308905	0.0298013
74	1	0	10	10	28	42	35	2	2	18	0.1245484	0.0298013
75	1	0	11	11	29	42	43	2	2	18	0.1245256	0.0361991
76	1	0	12	12	28	41	34	3	3	19	0.1182063	0.0298013
77	1	0	13	13	28	40	33	3	3	19	0.1118642	0.0298013
78	1	0	14	14	29	40	41	3	3	19	0.1118414	0.0361991
79	1	0	15	15	29	41	42	3	3	19	0.1181835	0.0361991
80	1	1	0	16	26	41	18	4	4	20	0.1182520	0.0170059
81	1	1	1	17	27	41	26	4	4	20	0.1182292	0.0234036
82	1	1	2	18	27	40	25	4	4	20	0.1118871	0.0234036
83	1	1	3	19	26	40	17	4	4	20	0.1119099	0.0170059
84	1	1	4	20	27	43	28	5	5	21	0.1309134	0.0234036
85	1	1	5	21	26	42	19	5	5	21	0.1245941	0.0170059
86	1	1	6	22	26	43	20	5	5	21	0.1309362	0.0170059
87	1	1	7	23	27	42	27	5	5	21	0.1245713	0.0234036
88	1	1	8	24	24	41	2	6	6	22	0.1182978	0.0042104
89	1	1	9	25	24	40	1	6	6	22	0.1119556	0.0042104
90	1	1	10	26	25	40	9	6	6	22	0.1119328	0.0106081
91	1	1	11	27	25	41	10	6	6	22	0.1182749	0.0106081
92	1	1	12	28	24	43	4	7	7	23	0.1309820	0.0042104
93	1	1	13	29	25	43	12	7	7	23	0.1309591	0.0106081
94	1	1	14	30	24	42	3	7	7	23	0.1246399	0.0042104
95	1	1	15	31	25	42	11	7	7	23	0.1246170	0.0106081
96	1	2	0	32	29	44	45	8	8	24	0.1372098	0.0361991
97	1	2	1	33	28	44	37	8	8	24	0.1372326	0.0298013
98	1	2	2	34	28	45	38	8	8	24	0.1435747	0.0298013
99	1	2	3	35	29	45	46	8	8	24	0.1435519	0.0361991
